z,a,symbol,ordering,"energy [keV]",halflife,spin,"magnetic dipole [nm]","electric quadrupole [b]",reference_standard,method,description,citation_01,doi_01,citation_02,doi_02,citation_03,doi_03,citation_04,doi_04,citation_05,doi_05
72,180,Hf,30,,,,+0.53(3),,,CEAD,"Integral Perturbed Angular Distribution after Coulomb Excitation",1968BE04,10.1016/0375-9474(68)90568-X,,,,,,,,
72,180,Hf,40,,,,+0.77(7),,,IPAC,"Integral Perturbed Angular Correlation",1961BO25,10.1007/BF01378086,,,,,,,,
72,180,Hf,50,,,,,-2.00(2),,Mu-X,"Muonic X-ray Hyperfine Structure",1984TA10,10.1103/PhysRevC.30.350,,,,,,,,
72,180,Hf,60,309,"71 ps",4+,+1.4(2),,,IPAC,"Integral Perturbed Angular Correlation",1996AL20,10.1007/s002180050124,,,,,,,,
72,180,Hf,70,,,,+2.0(4),,,IPAC,"Integral Perturbed Angular Correlation",1961BO25,10.1007/BF01378086,,,,,,,,
72,180,Hf,80,641,"10.0 ps",6+,+2.0(4),,,IPAC,"Integral Perturbed Angular Correlation",1996AL20,10.1007/s002180050124,,,,,,,,
72,180,Hf,90,1142,"5.53 h",8-,+8.7(10),,"[180Hf 93.]",ME,"Mossbauer Effect",1971KO29,10.1103/PhysRevLett.27.1593,,,,,,,,
72,180,Hf,100,,,,9.0(9),,,NO/S,"Static Nuclear Orientation with gamma detection",1976KR11,10.1103/PhysRevC.14.656,,,,,,,,
72,180,Hf,110,,,,,+4.6(3),"[178Hf 93.]",NO/S,"Static Nuclear Orientation with gamma detection",1973KA31,10.1016/0370-2693(73)90476-0,,,,,,,,
73,169,Ta,10,"170+x, 220.","44, 54 ns","5/2-, 9/2-",,"Q(5/2<sup>-</sup>)/Q(9/2<sup>-</sup>) = 1.87(13)",,TDPAD,"Time Dependent Perturbed Angular Distribution",2005KU40,10.1140/epja/i2005-10182-3,,,,,,,,
73,171,Ta,20,183,"46 ns",9/2-,,(+)3.1(2),[181Ta],TDPAD,"Time Dependent Perturbed Angular Distribution",1995DO32,10.1007/BF02066285,,,,,,,,
73,173,Ta,10,0,"3.14 h",5/2-,1.70(3),,,NMR/ON,"Nuclear Magnetic Resonance on Oriented Nuclei",1991KO25,10.1016/0375-9474(91)90503-X,,,,,,,,
